epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
10, 146, 1.2926, 50.000, 93.750, 
10, 145, 1.2651, 59.375, 95.312, 
10, 144, 1.4245, 45.312, 90.625, 
10, 143, 1.5798, 42.188, 87.500, 
10, 142, 1.2897, 46.875, 95.312, 
10, 141, 1.1984, 59.375, 93.750, 
10, 140, 1.4559, 45.312, 90.625, 
10, 139, 1.3007, 53.125, 93.750, 
10, 138, 1.4518, 43.750, 87.500, 
10, 137, 1.5749, 39.062, 92.188, 
10, 136, 1.3579, 54.688, 90.625, 
10, 135, 1.3129, 48.438, 95.312, 
10, 134, 1.2871, 54.688, 100.000, 
10, 133, 1.2214, 62.500, 96.875, 
10, 132, 1.3304, 50.000, 92.188, 
10, 131, 1.4318, 50.000, 87.500, 
10, 130, 1.3136, 53.125, 95.312, 
