Files already downloaded and verified
Ignoring network_output argument, using prob and logprob to obtain KL divergence
CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64
validate.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_0_100.json --constraint=RobustnessDandR(eps1=7.8, eps2=2.9) --dl2-weight=0.0 --batch-size=64 --name=CIFAR100_res_valid --checkpoint_folder=CIFAR100_res --log_file=process_output/textfiles/log_CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64.txt --starting_line=600
print_iter, train_iter, train_loss, train_dl2_loss, train_top1, train_top5,  test_loss,  test_acc, inf_time
915, 129932036587975526576347140142403682000, 0.0905, 0.0000, 96.875, 100.000, 1.3075, 72.180, 
917, 129932036587975526576347140142403682200, 0.0774, 7.0351, 98.438, 100.000, 1.3029, 72.180, 
919, 259864073175951053152694280284807363900, 0.1417, 0.0000, 95.312, 100.000, 1.3444, 71.210, 
921, 259864073175951053152694280284807364100, 0.0533, 0.0000, 98.438, 100.000, 1.2958, 72.230, 
923, 259864073175951053152694280284807364300, 0.0506, 11.8609, 100.000, 100.000, 1.3105, 71.950, 
925, 259864073175951053152694280284807364500, 0.0714, 0.0000, 96.875, 100.000, 1.2826, 71.990, 
927, 519728146351902106305388560569614728500, 0.0896, 0.0000, 98.438, 100.000, 1.1954, 73.930, 
929, 519728146351902106305388560569614728700, 0.0379, 0.0000, 100.000, 100.000, 1.1269, 75.020, 
931, 519728146351902106305388560569614728900, 0.0112, 0.0000, 100.000, 100.000, 1.1252, 75.580, 
933, 519728146351902106305388560569614729100, 0.0077, 0.0000, 100.000, 100.000, 1.1182, 75.370, 
935, 1039456292703804212610777121139229457700, 0.0097, 0.0000, 100.000, 100.000, 1.1171, 75.690, 
937, 1039456292703804212610777121139229457900, 0.0276, 0.0000, 100.000, 100.000, 1.1171, 75.820, 
939, 1039456292703804212610777121139229458100, 0.0037, 0.0000, 100.000, 100.000, 1.1163, 75.650, 
941, 1039456292703804212610777121139229458300, 0.0436, 11.5689, 98.438, 100.000, 1.1176, 75.810, 
943, 2078912585407608425221554242278458916100, 0.0140, 0.0000, 100.000, 100.000, 1.1213, 75.800, 
945, 2078912585407608425221554242278458916300, 0.0044, 28.8656, 100.000, 100.000, 1.1167, 75.800, 
947, 2078912585407608425221554242278458916500, 0.0115, 0.0000, 100.000, 100.000, 1.1121, 75.790, 
949, 2078912585407608425221554242278458916700, 0.0033, 0.0000, 100.000, 100.000, 1.1102, 76.030, 
951, 4157825170815216850443108484556917833000, 0.0043, 0.0000, 100.000, 100.000, 1.1131, 75.990, 
953, 4157825170815216850443108484556917833200, 0.0102, 0.0000, 100.000, 100.000, 1.1154, 75.990, 
955, 4157825170815216850443108484556917833400, 0.0048, 0.0000, 100.000, 100.000, 1.1183, 76.200, 
957, 4157825170815216850443108484556917833600, 0.0102, 0.0000, 100.000, 100.000, 1.1125, 76.020, 
959, 8315650341630433700886216969113835666700, 0.0060, 0.0000, 100.000, 100.000, 1.1193, 76.060, 
961, 8315650341630433700886216969113835666900, 0.0055, 0.0000, 100.000, 100.000, 1.1099, 76.310, 
963, 8315650341630433700886216969113835667100, 0.0043, 0.0000, 100.000, 100.000, 1.1215, 76.210, 
965, 8315650341630433700886216969113835667300, 0.0057, 0.0000, 100.000, 100.000, 1.1225, 76.210, 
967, 16631300683260867401772433938227671334200, 0.0053, 0.0000, 100.000, 100.000, 1.1277, 76.180, 
969, 16631300683260867401772433938227671334400, 0.0038, 0.0000, 100.000, 100.000, 1.1227, 76.320, 
971, 16631300683260867401772433938227671334600, 0.0204, 0.0000, 98.438, 100.000, 1.1189, 76.220, 
973, 16631300683260867401772433938227671334800, 0.0040, 11.8067, 100.000, 100.000, 1.1224, 75.900, 
975, 33262601366521734803544867876455342669100, 0.0032, 0.0000, 100.000, 100.000, 1.1230, 76.100, 
977, 33262601366521734803544867876455342669300, 0.0055, 0.0000, 100.000, 100.000, 1.1170, 76.120, 
979, 33262601366521734803544867876455342669500, 0.0058, 12.1620, 100.000, 100.000, 1.1202, 76.100, 
981, 33262601366521734803544867876455342669700, 0.0044, 11.9838, 100.000, 100.000, 1.1139, 76.040, 
983, 66525202733043469607089735752910685338900, 0.0016, 0.0000, 100.000, 100.000, 1.1212, 76.030, 
985, 66525202733043469607089735752910685339100, 0.0018, 8.2235, 100.000, 100.000, 1.1227, 76.160, 
987, 66525202733043469607089735752910685339300, 0.0034, 0.0000, 100.000, 100.000, 1.1210, 76.150, 
989, 66525202733043469607089735752910685339500, 0.0034, 0.0000, 100.000, 100.000, 1.1196, 76.280, 
991, 133050405466086939214179471505821370678600, 0.0080, 0.0000, 100.000, 100.000, 1.1238, 76.160, 
993, 133050405466086939214179471505821370678800, 0.0014, 0.0000, 100.000, 100.000, 1.1221, 76.260, 
